DATE,Actual,ARIMA,SARIMAX,XGBoost,LinearRegression
2007-09-01,4.608538506820846,-0.005973238782258361,4.604119197255051,4.6011486,5.092764469134896
2007-10-01,4.52057479723801,0.0005266997652416672,4.527785743104048,4.6011486,5.096743858448789
2007-11-01,4.529812818280076,-0.00018350787546756624,4.544579368686631,4.6011486,5.100723247762684
2007-12-01,4.65816103870784,-0.00010590792752409326,4.68206982996097,4.6011486,5.104702637076577
2008-01-01,4.7313331230989615,-0.00011438678860029378,4.737447093399925,4.6011486,5.108682026390471
2008-02-01,4.671878850659868,-0.00011346035646915527,4.695585635827056,4.6011486,5.112661415704364
2008-03-01,4.597192448293141,-0.00011356158191510755,4.61953789553658,4.6011486,5.116640805018258
2008-04-01,4.498111562694583,-0.00011355052164359511,4.515560059338627,4.6011486,5.120620194332152
2008-05-01,4.500669300742147,-0.00011355173013030295,4.529910019488709,4.6011486,5.124599583646045
2008-06-01,4.6310279731573765,-0.0001135515980865171,4.626827489600203,4.6011486,5.128578972959939
2008-07-01,4.695197344267821,-0.00011355161251411591,4.7061017450809555,4.6011486,5.132558362273833
2008-08-01,4.666094998037047,-0.0001135516109377024,4.732027378443389,4.6011486,5.136537751587727
2008-09-01,4.570006113530412,-0.00011355161110994724,4.616464424481815,4.6011486,5.14051714090162
2008-10-01,4.498425379308072,-0.00011355161109112712,4.541869669655719,4.6011486,5.1444965302155135
2008-11-01,4.528565561328064,-0.00011355161109318347,4.560287741764288,4.6011486,5.148475919529408
2008-12-01,4.682294176810162,-0.00011355161109295879,4.700555314940055,4.6011486,5.152455308843301
2009-01-01,4.747983988436383,-0.00011355161109298333,4.7551793730495096,4.6011486,5.156434698157195
2009-02-01,4.63562179344392,-0.00011355161109298065,4.7116574454394335,4.6011486,5.160414087471088
2009-03-01,4.5699315338953825,-0.00011355161109298094,4.63843713969337,4.6011486,5.164393476784983
2009-04-01,4.4659069692286355,-0.00011355161109298092,4.533842532556063,4.6011486,5.168372866098876
2009-05-01,4.459180944169514,-0.00011355161109298092,4.5483979283672875,4.6011486,5.17235225541277
2009-06-01,4.565331041645656,-0.00011355161109298092,4.6456658546948715,4.6011486,5.176331644726663
2009-07-01,4.630936368437526,-0.00011355161109298092,4.725882800598044,4.6011486,5.180311034040557
2009-08-01,4.648431762307307,-0.00011355161109298092,4.750001722725056,4.6011486,5.184290423354451
2009-09-01,4.53982600706209,-0.00011355161109298092,4.6348016449949565,4.6011486,5.188269812668344
2009-10-01,4.477880984572619,-0.00011355161109298092,4.560327251971566,4.6011486,5.192249201982238
2009-11-01,4.478750587357472,-0.00011355161109298092,4.578851742444091,4.6011486,5.196228591296132
2009-12-01,4.693431032066012,-0.00011355161109298092,4.719285281109325,4.6011486,5.200207980610026
2010-01-01,4.766214478743354,-0.00011355161109298092,4.773874041097197,4.6011486,5.204187369923919
2010-02-01,4.692319886743881,-0.00011355161109298092,4.73026368750706,4.6011486,5.2081667592378125
2010-03-01,4.573478260255466,-0.00011355161109298092,4.657204969875901,4.6011486,5.212146148551707
2010-04-01,4.442387692348574,-0.00011355161109298092,4.5525778825554895,4.6011486,5.2161255378656
2010-05-01,4.4941615273367725,-0.00011355161109298092,4.567146194338043,4.6011486,5.220104927179494
2010-06-01,4.633951015784622,-0.00011355161109298092,4.664434703605831,4.6011486,5.2240843164933874
2010-07-01,4.713573368038214,-0.00011355161109298092,4.744705116998864,4.6011486,5.228063705807282
2010-08-01,4.714583179255264,-0.00011355161109298092,4.768723198394408,4.6011486,5.232043095121175
2010-09-01,4.59345381660649,-0.00011355161109298092,4.653543743377406,4.6011486,5.236022484435068
2010-10-01,4.474253657339238,-0.00011355161109298092,4.579076286982528,4.6011486,5.240001873748962
2010-11-01,4.5156436486327935,-0.00011355161109298092,4.597606869877797,4.6011486,5.243981263062856
2010-12-01,4.725665983221738,-0.00011355161109298092,4.738049796448994,4.6011486,5.24796065237675
2011-01-01,4.770127689745293,-0.00011355161109298092,4.792636635544693,4.6011486,5.251940041690643
2011-02-01,4.662183589314524,-0.00011355161109298092,4.749021364379205,4.6011486,5.255919431004537
2011-03-01,4.5817285655806,-0.00011355161109298092,4.675971729456645,4.6011486,5.259898820318431
2011-04-01,4.4774299919552325,-0.00011355161109298092,4.571342839032356,4.6011486,5.263878209632325
2011-05-01,4.485656653886056,-0.00011355161109298092,4.585911886393329,4.6011486,5.267857598946218
2011-06-01,4.618912328728593,-0.00011355161109298092,4.68320155712842,4.6011486,5.2718369882601115
2011-07-01,4.729269233581624,-0.00011355161109298092,4.763474972554514,4.6011486,5.275816377574006
2011-08-01,4.719083521782258,-0.00011355161109298092,4.787487405469245,4.6011486,5.279795766887899
2011-09-01,4.5859629014402445,-0.00011355161109298092,4.672309108691156,4.6011486,5.283775156201793
2011-10-01,4.488476806440797,-0.00011355161109298092,4.597842042669831,4.6011486,5.2877545455156865
2011-11-01,4.525883442501612,-0.00011355161109298092,4.616372968100653,4.6011486,5.291733934829581
2011-12-01,4.661355793472002,-0.00011355161109298092,4.756816421565482,4.6011486,5.295713324143474
2012-01-01,4.702561834396498,-0.00011355161109298092,4.811403153475837,4.6011486,5.299692713457367
2012-02-01,4.623596376233193,-0.00011355161109298092,4.767787607007151,4.6011486,5.303672102771261
2012-03-01,4.522074405761339,-0.00011355161109298092,4.694738481374621,4.6011486,5.307651492085155
2012-04-01,4.456101570567626,-0.00011355161109298092,4.590109490032998,4.6011486,5.311630881399049
2012-05-01,4.5147442587786,-0.00011355161109298092,4.604678578719146,4.6011486,5.315610270712942
